City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Plettenberg Bay,ZA,-34.05,23.37,63.88,85,0,11.18,clear sky
332,Bathsheba,BB,13.22,-59.52,84.2,74,75,20.8,broken clouds
333,Calabozo,VE,8.92,-67.43,84.7,77,97,3.33,light rain
334,Vestmanna,FO,62.16,-7.17,44.6,93,100,6.93,light rain
335,Tazmalt,DZ,36.39,4.4,60.8,93,20,4.7,few clouds
336,Talcher,IN,20.95,85.22,75.13,78,69,3.09,broken clouds
337,Bonga,ET,7.28,36.23,59.45,89,83,1.36,broken clouds
338,Carutapera,BR,-1.2,-46.02,85.44,62,0,8.88,clear sky
339,Algiers,DZ,36.75,3.04,57.2,87,20,2.24,few clouds
340,Juba,SS,4.85,31.58,79.2,58,80,3.15,broken clouds
341,Rusape,ZW,-18.53,32.13,63.37,70,7,9.24,clear sky
342,Akbarpur,IN,26.42,82.55,71.01,33,0,6.13,clear sky
343,Camopi,GF,3.17,-52.32,89.83,54,31,6.29,moderate rain
344,Forio,IT,40.73,13.86,63.0,82,55,4.85,broken clouds
345,Qaqortoq,GL,60.72,-46.03,26.6,68,0,4.7,clear sky
346,Destin,US,30.39,-86.5,78.8,47,1,9.17,clear sky
347,Khorixas,NA,-20.37,14.97,75.54,21,66,10.49,broken clouds
348,Shakiso,ET,5.75,38.92,57.88,95,23,3.09,few clouds
349,Dawlatabad,AF,36.41,64.91,51.01,40,0,3.74,clear sky
350,Sioux Lookout,CA,50.1,-91.92,23.0,53,20,11.41,few clouds
351,Laguna,US,38.42,-121.42,73.0,30,1,4.7,clear sky
352,Dwarka,IN,22.24,68.97,82.08,50,0,9.91,clear sky
353,Graneros,CL,-34.07,-70.73,73.4,53,0,5.35,clear sky
354,Dergachi,RU,51.23,48.77,46.78,63,59,9.15,broken clouds
355,Hofn,IS,64.25,-15.21,39.78,68,0,11.83,clear sky
356,Jhanjharpur,IN,26.27,86.28,74.52,57,0,3.78,clear sky
357,Clarence Town,AU,-32.58,151.78,64.99,93,90,10.29,light intensity shower rain
358,Siuna,NI,13.73,-84.78,82.47,65,84,7.36,light rain
